reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.81156972,42.94889129,0,0,198,207.8183007,2020/10/22 15:19:45+00,,,,,,,,,,,,,,,,,,,,,
-78.81161334,42.94888852,0,0,199,208.4514829,2020/10/22 15:19:47+00,,,,,,,,,,,,,,,,,,,,,
-78.81165584,42.94889027,0,0,200,208.5862515,2020/10/22 15:19:49+00,,,,,,,,,,,,,,,,,,,,,
-78.81168475,42.94890855,0,0,201,208.6194415,2020/10/22 15:19:51+00,,,,,,,,,,,,,,,,,,,,,
-78.81169987,42.94893825,0,0,202,209.1567627,2020/10/22 15:19:53+00,,,,,,,,,,,,,,,,,,,,,
-78.81169312,42.9489576,0,0,203,209.3116236,2020/10/22 15:19:54+00,,,,,,,,,,,,,,,,,,,,,
-78.81168374,42.94898893,0,0,204,209.6442186,2020/10/22 15:19:56+00,,,,,,,,,,,,,,,,,,,,,
-78.8116909,42.9490121,0,0,205,210.3356436,2020/10/22 15:19:59+00,,,,,,,,,,,,,,,,,,,,,
-78.81172092,42.94902525,0,0,206,208.7223915,2020/10/22 15:20:01+00,,,,,,,,,,,,,,,,,,,,,
-78.81175506,42.9490325,0,0,207,208.5576549,2020/10/22 15:20:04+00,,,,,,,,,,,,,,,,,,,,,
-78.81178644,42.94904753,0,0,208,208.7941079,2020/10/22 15:20:07+00,,,,,,,,,,,,,,,,,,,,,
-78.81181043,42.94906368,0,0,209,209.0388895,2020/10/22 15:20:09+00,,,,,,,,,,,,,,,,,,,,,
-78.81185145,42.94906446,0,0,210,208.8892123,2020/10/22 15:20:11+00,,,,,,,,,,,,,,,,,,,,,
-78.81189536,42.94905695,0,0,211,208.7585377,2020/10/22 15:20:13+00,,,,,,,,,,,,,,,,,,,,,
-78.81193501,42.94906155,0,0,212,208.5154195,2020/10/22 15:20:15+00,,,,,,,,,,,,,,,,,,,,,
-78.81197204,42.94905491,0,0,213,208.3963711,2020/10/22 15:20:17+00,,,,,,,,,,,,,,,,,,,,,
-78.81200503,42.94904918,0,0,214,208.290633,2020/10/22 15:20:19+00,,,,,,,,,,,,,,,,,,,,,
-78.81204074,42.94904913,0,0,215,208.437214,2020/10/22 15:20:21+00,,,,,,,,,,,,,,,,,,,,,
-78.8120762,42.94905258,0,0,216,208.6917892,2020/10/22 15:20:23+00,,,,,,,,,,,,,,,,,,,,,
-78.81211811,42.94905548,0,0,217,208.3345138,2020/10/22 15:20:25+00,,,,,,,,,,,,,,,,,,,,,
-78.81215549,42.94906093,0,0,218,208.2176997,2020/10/22 15:20:27+00,,,,,,,,,,,,,,,,,,,,,
-78.81219551,42.94905571,0,0,219,208.535934,2020/10/22 15:20:29+00,,,,,,,,,,,,,,,,,,,,,
-78.8122409,42.94905097,0,0,220,208.4871741,2020/10/22 15:20:31+00,,,,,,,,,,,,,,,,,,,,,
